#{"t_start": 1766243797.653455, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
600.0,4407,6213.012483
400.0,3071,6218.970065
545.0,4183,6226.799717
730.0,5051,6236.306009
605.0,4193,6244.33623
495.0,3505,6251.03551
545.0,3408,6257.530795
440.0,3223,6263.756371
430.0,2711,6268.85982
235.0,2585,6273.859761
430.0,2412,6295.609732
1055.0,5797,6306.838466
285.0,2231,6311.110847
570.0,5129,6320.825077
335.0,2455,6325.506707
80.0,1137,6327.688681
370.0,2433,6332.427274
600.0,2837,6337.912848
290.0,2645,6343.155714
600.0,4939,6352.576662
695.0,3275,6358.822663
670.0,3705,6365.876791
420.0,3087,6371.811723
885.0,3727,6378.956735
600.0,3951,6386.463136
545.0,3207,6392.598392
605.0,4549,6401.265901
640.0,3487,6408.158473
500.0,3593,6415.01373
570.0,4718,6423.995111
805.0,4353,6432.084137
485.0,3519,6438.877214
550.0,3724,6446.06133
545.0,4759,6455.129846
655.0,3844,6462.483005
570.0,2629,6467.554817
600.0,4841,6476.877548
940.0,6399,6511.775051
410.0,4075,6519.607531
805.0,4943,6529.019577
375.0,2949,6534.836608
770.0,3947,6542.308894
575.0,4877,6551.495557
220.0,1835,6555.059797
275.0,2573,6560.102515
455.0,3411,6566.755454
545.0,4495,6575.417172
475.0,3525,6582.255379
480.0,3387,6588.849141
480.0,3905,6596.659185
525.0,3751,6603.930765
330.0,3669,6611.032351
500.0,3323,6617.422136
685.0,3631,6624.454653
655.0,3601,6631.427295
170.0,1935,6635.238875
415.0,3149,6641.453514
555.0,4177,6649.692268
520.0,3713,6657.083273
675.0,3979,6664.779658
245.0,2417,6669.45397
645.0,3407,6676.065802
800.0,4281,6684.371902
950.0,6939,6697.940206
385.0,3887,6724.777384
800.0,4685,6733.798291
805.0,5103,6743.598142
970.0,4803,6752.813073
575.0,4699,6761.852621
690.0,4219,6770.081132
495.0,4385,6778.54108
190.0,2389,6783.249226
600.0,4063,6791.0775
700.0,4061,6798.9586
480.0,3833,6806.386529
515.0,4183,6814.50311
400.0,2775,6819.945064
770.0,3308,6826.339567
315.0,2471,6831.268338
455.0,4009,6838.98739
525.0,3307,6845.435457
540.0,4451,6853.993222
415.0,2655,6859.161461
535.0,3293,6865.537372
640.0,3477,6872.230021
475.0,3391,6878.828339
890.0,4161,6886.754091
655.0,3591,6893.865519
545.0,3742,6901.061059
215.0,2761,6906.463922
295.0,2561,6911.431513
685.0,2939,6917.141026
740.0,3802,6941.218626
600.0,4575,6950.01098
1600.0,6727,6963.144753
775.0,4182,6971.217837
315.0,2839,6976.747301
555.0,3721,6983.938652
500.0,3827,6991.371424
575.0,4577,7000.353422
645.0,3529,7007.148518
580.0,2975,7013.102241
730.0,4080,7021.009044
545.0,4005,7028.714812
600.0,5705,7039.768812
575.0,3965,7047.435552
515.0,4199,7055.574932
375.0,3303,7061.949682
550.0,4582,7070.796905
470.0,4187,7079.082192
340.0,2387,7083.801317
315.0,2391,7088.374658
545.0,3778,7095.670084
395.0,2976,7101.409797
1015.0,6321,7113.67913
370.0,2605,7118.757703
730.0,3293,7125.093945
415.0,4213,7133.357589
455.0,2929,7160.18151
605.0,5033,7169.801973
435.0,3393,7176.373034
520.0,4315,7184.593045
365.0,2337,7189.154945
605.0,4013,7196.8319
725.0,4521,7205.574222
540.0,3853,7212.9874
545.0,4243,7221.142991
530.0,4521,7229.817086
660.0,4365,7238.33314
535.0,4017,7246.073967
605.0,4179,7254.359815
460.0,3793,7261.573791
520.0,4213,7269.574125
475.0,2583,7274.59785
690.0,3937,7282.19737
570.0,3529,7288.936686
800.0,4563,7297.803465
760.0,4193,7305.858927
720.0,5825,7317.289631
775.0,3422,7323.95222
605.0,4649,7332.944616
960.0,6814,7346.076884
895.0,8051,7381.015246
575.0,4331,7389.575343
600.0,5027,7399.341832
500.0,4621,7408.287674
570.0,3834,7415.692593
855.0,4197,7423.717555
545.0,3676,7430.691397
575.0,3916,7438.302641
550.0,3531,7445.126438
715.0,3917,7452.641172
370.0,2412,7457.326033
755.0,4335,7465.638619
600.0,4215,7473.755146
725.0,4000,7481.411759
675.0,6031,7493.094514
230.0,2531,7498.137259
575.0,4529,7506.927697
550.0,4161,7514.854327
430.0,2471,7519.549175
950.0,7813,7534.669521
280.0,3623,7541.791993
540.0,3131,7547.980281
525.0,3688,7555.298481
570.0,4518,7585.151144
335.0,2455,7590.011144
495.0,3601,7596.969507
600.0,4109,7604.86014
340.0,2583,7609.920143
475.0,3041,7616.03413
725.0,4084,7623.965653
430.0,3567,7630.850884
800.0,4725,7639.981508
570.0,5320,7650.231316
485.0,3915,7657.875394
900.0,5979,7669.527889
450.0,3969,7677.390975
555.0,3349,7683.934355
460.0,3719,7691.129735
520.0,4215,7699.320748
500.0,3773,7706.591039
660.0,3649,7713.602005
570.0,4546,7722.358102
690.0,3311,7728.793634
570.0,4077,7736.848907
1145.0,3834,7744.340048
515.0,3657,7751.444395
600.0,3895,7759.004748
505.0,3585,7765.8665
470.0,3719,7773.073464
475.0,3917,7780.660386
225.0,2889,7802.428061
550.0,3737,7809.557604
570.0,4373,7817.900265
645.0,4185,7825.933859
585.0,2199,7830.185433
600.0,3605,7837.196111
525.0,3322,7843.688019
515.0,3349,7850.139035
525.0,2965,7855.876899
665.0,3343,7862.49587
600.0,3901,7869.955958
745.0,4094,7877.868269
420.0,2851,7883.332132
600.0,4063,7891.14963
570.0,4589,7899.954703
960.0,5974,7911.590206
800.0,4141,7919.730737
665.0,3455,7926.382562
405.0,4183,7934.559652
545.0,3381,7941.131421
955.0,5421,7951.712514
545.0,3875,7959.225216
550.0,4399,7967.686388
320.0,2833,7973.218508
570.0,3749,7980.571883
745.0,4245,7988.631827
540.0,3279,8008.978096
610.0,4471,8017.625401
560.0,3436,8024.263856
490.0,4291,8032.565422
555.0,3419,8039.310957
555.0,4854,8048.732775
605.0,3967,8056.459327
1125.0,5983,8068.122897
410.0,2429,8072.848765
525.0,4737,8082.04868
365.0,2929,8087.745888
575.0,4673,8096.917145
540.0,3990,8104.650904
585.0,3358,8111.020658
540.0,4209,8118.988581
980.0,5939,8130.473683
400.0,2791,8135.915185
575.0,3600,8142.768748
605.0,3675,8149.786672
895.0,6215,8162.033791
600.0,3501,8168.757798
600.0,4175,8176.741152
575.0,4010,8184.470529
800.0,4041,8192.19958
600.0,4835,8201.481131
775.0,4343,8227.993418
415.0,2865,8233.443574
575.0,3864,8240.780236
575.0,3446,8247.424548
580.0,3539,8254.169115
770.0,3424,8260.633647
600.0,3909,8268.03293
570.0,2988,8273.865482
640.0,3997,8281.799836
525.0,3285,8288.183106
600.0,5377,8298.46862
325.0,2933,8304.081547
715.0,4026,8311.829865
420.0,2135,8316.011163
360.0,2729,8321.295021
605.0,4033,8328.980981
1205.0,7645,8343.967235
800.0,4451,8352.494482
665.0,4961,8362.028853
715.0,3579,8368.903778
600.0,4559,8377.694809
1150.0,6765,8390.764103
925.0,5569,8401.711215
205.0,2407,8406.431067
775.0,3953,8414.042304
605.0,3595,8440.208188
580.0,4532,8448.810582
555.0,3799,8456.139752
455.0,3251,8462.726267
575.0,3770,8469.962337
745.0,3953,8477.559395
525.0,3148,8483.635465
575.0,4549,8492.431081
525.0,3766,8499.79001
360.0,2263,8504.25823
715.0,5311,8514.564361
1225.0,6009,8526.294361
660.0,5005,8535.87877
480.0,3797,8543.172621
1145.0,7861,8558.36225
700.0,4657,8567.33316
725.0,4565,8576.061074
670.0,3927,8583.72729
600.0,3605,8590.624875
500.0,3439,8597.275144
515.0,3661,8604.330393
800.0,4075,8611.992845
695.0,3863,8619.434593
550.0,4453,8628.047829
670.0,4419,8650.494155
435.0,4439,8659.141254
310.0,2748,8664.449272
600.0,4459,8673.010581
525.0,3444,8679.618013
515.0,4071,8687.338217
780.0,3879,8694.842898
600.0,4141,8702.8804
800.0,3753,8710.002593
605.0,3693,8717.087065
325.0,2766,8722.413289
220.0,2911,8728.070272
365.0,3585,8735.055778
395.0,2603,8740.057282
170.0,1807,8743.613909
545.0,4345,8751.987271
600.0,4145,8760.061827
605.0,3305,8766.433811
540.0,3951,8774.08129
465.0,3527,8780.861501
655.0,4805,8790.144073
775.0,4283,8798.388819
575.0,4697,8807.428303
230.0,2003,8811.326596
710.0,5029,8821.154301
495.0,4187,8829.21016
520.0,3213,8835.335202
